iter	Passed	Remaining
0	11	35125
1	21	32285
2	30	30533
3	40	30704
4	50	30261
5	59	29804
6	69	29851
7	78	29501
8	88	29411
9	98	29407
10	108	29435
11	118	29550
12	127	29315
13	138	29436
14	146	29239
15	156	29123
16	166	29171
17	175	29135
18	185	29124
19	195	29116
20	204	29078
21	215	29124
22	224	29076
23	233	28924
24	242	28818
25	253	28948
26	262	28851
27	271	28773
28	280	28691
29	290	28753
30	299	28730
31	308	28659
32	318	28632
33	327	28554
34	336	28511
35	346	28492
36	355	28457
37	365	28483
38	376	28615
39	387	28705
40	398	28760
41	418	29456
42	430	29608
43	447	30094
44	460	30242
45	472	30323
46	486	30596
47	500	30760
48	514	31004
49	538	31756
50	548	31733
51	557	31631
52	570	31714
53	580	31672
54	590	31609
55	601	31647
56	612	31610
57	622	31598
58	632	31543
59	646	31655
60	656	31613
61	664	31503
62	674	31442
63	683	31361
64	692	31288
65	701	31201
66	711	31138
67	720	31078
68	732	31134
69	741	31054
70	751	30993
71	760	30926
72	773	31010
73	782	30937
74	793	30934
75	802	30874
76	811	30791
77	820	30748
78	830	30712
79	839	30655
80	848	30587
81	858	30535
82	867	30479
83	876	30421
84	885	30378
85	897	30419
86	907	30399
87	917	30372
88	927	30323
89	936	30268
90	945	30224
91	955	30194
92	968	30264
93	978	30263
94	989	30251
95	998	30218
96	1008	30188
97	1017	30124
98	1026	30078
99	1035	30040
100	1044	29983
101	1055	29976
102	1064	29941
103	1074	29919
104	1084	29901
105	1093	29842
106	1102	29809
107	1111	29753
108	1124	29814
109	1134	29813
110	1143	29773
111	1153	29736
112	1162	29703
113	1171	29664
114	1180	29627
115	1190	29590
116	1198	29544
117	1208	29516
118	1217	29478
119	1228	29473
120	1237	29450
121	1251	29531
122	1261	29507
123	1270	29468
124	1282	29499
125	1293	29492
126	1304	29519
127	1319	29598
128	1333	29682
129	1346	29729
130	1356	29706
131	1367	29704
132	1378	29706
133	1387	29684
134	1398	29678
135	1411	29725
136	1420	29692
137	1430	29669
138	1441	29665
139	1449	29619
140	1459	29597
141	1470	29588
142	1481	29600
143	1492	29597
144	1502	29575
145	1518	29684
146	1532	29734
147	1541	29708
148	1559	29830
149	1569	29819
150	1580	29818
151	1595	29889
152	1604	29851
153	1614	29836
154	1625	29830
155	1634	29801
156	1644	29771
157	1657	29816
158	1667	29787
159	1677	29766
160	1686	29731
161	1695	29700
162	1705	29682
163	1714	29646
164	1728	29700
165	1739	29702
166	1751	29711
167	1775	29935
168	1789	29976
169	1801	29985
170	1811	29974
171	1822	29967
172	1835	30001
173	1847	30003
174	1857	29985
175	1873	30057
176	1882	30025
177	1893	30011
178	1903	29999
179	1912	29955
180	1919	29900
181	1927	29842
182	1938	29843
183	1948	29813
184	1957	29779
185	1967	29769
186	1977	29754
187	1986	29718
188	1997	29710
189	2007	29684
190	2016	29649
191	2025	29618
192	2039	29663
193	2048	29626
194	2057	29591
195	2068	29592
196	2077	29558
197	2086	29531
198	2096	29506
199	2105	29479
200	2115	29457
201	2125	29436
202	2138	29468
203	2147	29438
204	2156	29404
205	2166	29387
206	2175	29346
207	2183	29311
208	2192	29283
209	2201	29248
210	2209	29210
211	2218	29169
212	2227	29142
213	2236	29110
214	2245	29092
215	2257	29103
216	2267	29075
217	2278	29070
218	2288	29065
219	2298	29039
220	2309	29039
221	2318	29015
222	2331	29033
223	2340	29009
224	2350	28988
225	2358	28951
226	2367	28923
227	2376	28895
228	2388	28907
229	2399	28898
230	2408	28876
231	2418	28860
232	2427	28827
233	2436	28803
234	2446	28786
235	2462	28837
236	2472	28828
237	2483	28819
238	2494	28821
239	2504	28803
240	2513	28779
241	2523	28758
242	2532	28731
243	2541	28705
244	2550	28682
245	2560	28664
246	2569	28644
247	2579	28624
248	2587	28592
249	2596	28559
250	2604	28528
251	2613	28500
252	2629	28548
253	2639	28531
254	2647	28504
255	2660	28522
256	2669	28492
257	2678	28466
258	2687	28438
259	2695	28410
260	2704	28379
261	2712	28349
262	2721	28320
263	2729	28291
264	2738	28264
265	2748	28251
266	2765	28306
267	2774	28285
268	2783	28256
269	2793	28246
270	2803	28233
271	2813	28215
272	2824	28212
273	2834	28197
274	2845	28192
275	2854	28173
276	2863	28149
277	2873	28135
278	2884	28133
279	2895	28126
280	2907	28131
281	2918	28131
282	2932	28149
283	2944	28162
284	2960	28198
285	2972	28203
286	2983	28199
287	2994	28195
288	3006	28207
289	3019	28221
290	3030	28214
291	3039	28186
292	3049	28178
293	3061	28177
294	3071	28160
295	3081	28147
296	3090	28123
297	3098	28096
298	3107	28071
299	3116	28047
300	3125	28025
301	3134	28001
302	3143	27982
303	3152	27960
304	3162	27942
305	3171	27919
306	3180	27900
307	3192	27907
308	3202	27886
309	3210	27859
310	3220	27847
311	3229	27827
312	3239	27813
313	3250	27801
314	3259	27783
315	3268	27764
316	3277	27743
317	3288	27731
318	3297	27711
319	3306	27695
320	3317	27684
321	3329	27690
322	3340	27689
323	3350	27672
324	3359	27652
325	3369	27638
326	3378	27614
327	3388	27603
328	3398	27590
329	3407	27572
330	3416	27549
331	3426	27531
332	3434	27510
333	3444	27491
334	3454	27477
335	3463	27457
336	3473	27443
337	3482	27426
338	3492	27411
339	3501	27397
340	3512	27386
341	3529	27429
342	3538	27413
343	3548	27397
344	3561	27406
345	3571	27397
346	3581	27379
347	3589	27356
348	3598	27334
349	3607	27314
350	3616	27291
351	3624	27267
352	3632	27242
353	3641	27216
354	3649	27194
355	3658	27172
356	3668	27159
357	3677	27139
358	3696	27194
359	3705	27172
360	3714	27155
361	3722	27128
362	3731	27105
363	3740	27091
364	3750	27073
365	3763	27083
366	3772	27063
367	3780	27042
368	3789	27021
369	3798	27002
370	3808	26986
371	3817	26971
372	3826	26949
373	3835	26928
374	3845	26919
375	3855	26906
376	3864	26889
377	3874	26878
378	3883	26857
379	3892	26836
380	3901	26816
381	3909	26795
382	3918	26773
383	3927	26758
384	3937	26743
385	3946	26728
386	3955	26706
387	3963	26683
388	3972	26662
389	3980	26637
390	3988	26616
391	3997	26594
392	4005	26573
393	4015	26559
394	4024	26542
395	4033	26525
396	4045	26525
397	4055	26511
